Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-04-12;07:15:22;1;0;48;1860;37080;995144
2023-04-12;07:15:22;1;2;34;1948;43278;11
2023-04-12;07:15:22;1;1;49;1243;510307977;134353625
2023-04-12;07:15:23;1;0;48;1858;37333;995252
2023-04-12;07:15:23;1;2;34;1943;43255;17741
2023-04-12;07:15:23;1;1;49;1258;510307900;134353551
2023-04-12;07:15:24;1;0;48;1854;37381;995218
2023-04-12;07:15:24;1;2;34;1935;43293;11
2023-04-12;07:15:24;1;1;49;1273;510307824;134353480
2023-04-12;07:15:25;1;0;48;1853;37259;995254
2023-04-12;07:15:25;1;2;34;1931;43354;11
2023-04-12;07:15:25;1;1;49;1293;510307714;134353374
2023-04-12;07:15:26;1;0;48;1855;37504;995227
2023-04-12;07:15:26;1;2;34;1919;43369;11
2023-04-12;07:15:26;1;1;49;1301;510307669;134353331
2023-04-12;07:15:27;1;0;48;1856;37515;995209
2023-04-12;07:15:27;1;2;34;1917;43468;11
2023-04-12;07:15:28;1;0;48;1856;37403;995217
2023-04-12;07:15:28;1;2;34;1931;43552;0
2023-04-12;07:15:28;1;1;49;1327;510307524;134353187
2023-04-12;07:15:29;1;0;48;1859;37568;995181
2023-04-12;07:15:29;1;2;34;1946;43652;11
2023-04-12;07:15:29;1;1;49;1343;510307439;134353099
2023-04-12;07:15:30;1;101;2023-04-12;07:15:30
2023-04-12;07:15:30;1;0;48;1862;37500;995259
2023-04-12;07:15:30;1;2;34;1948;43705;11
2023-04-12;07:15:31;1;0;48;1860;37365;995198
2023-04-12;07:15:31;1;2;34;1946;43690;11
2023-04-12;07:15:31;1;1;49;1362;510307339;134352992
2023-04-12;07:15:32;1;0;48;1854;37494;995164
2023-04-12;07:15:32;1;2;34;1922;43705;11
2023-04-12;07:15:32;1;1;49;1375;510307267;134352918
2023-04-12;07:15:33;1;0;48;1850;37235;995220
2023-04-12;07:15:33;1;2;34;1902;43682;23
2023-04-12;07:15:34;1;0;48;1844;37240;995223
2023-04-12;07:15:34;1;2;34;1870;43682;11
2023-04-12;07:15:34;1;1;49;1403;510307117;134352767
2023-04-12;07:15:35;1;0;48;1838;37296;995253
2023-04-12;07:15:35;1;2;34;1846;43690;11
2023-04-12;07:15:36;1;0;48;1806;37218;995195
2023-04-12;07:15:36;1;2;34;1772;43636;11
2023-04-12;07:15:37;1;0;48;1795;37067;995173
2023-04-12;07:15:37;1;2;34;1717;43644;11
2023-04-12;07:15:37;1;1;49;1422;510307013;134352652
2023-04-12;07:15:38;1;0;48;1789;37325;995194
2023-04-12;07:15:38;1;2;34;1694;43789;11
2023-04-12;07:15:38;1;1;49;1434;510306942;134352579
2023-04-12;07:15:39;1;0;48;1792;37420;995166
2023-04-12;07:15:39;1;2;34;1699;44018;11
2023-04-12;07:15:39;1;1;49;1442;510306896;134352528
2023-04-12;07:15:40;1;101;2023-04-12;07:15:40
2023-04-12;07:15:40;1;0;48;1794;37583;995147
2023-04-12;07:15:40;1;2;34;1708;44300;11
2023-04-12;07:15:40;1;1;49;1448;510306861;134352486
2023-04-12;07:15:41;1;0;48;1792;37725;995148
2023-04-12;07:15:41;1;2;34;1710;44590;11
2023-04-12;07:15:42;1;0;48;1798;37791;995226
2023-04-12;07:15:42;1;2;34;1728;44941;11
2023-04-12;07:15:42;1;1;49;1457;510306808;134352415
2023-04-12;07:15:43;1;0;48;1802;37804;995233
2023-04-12;07:15:43;1;2;34;1744;45216;11
2023-04-12;07:15:43;1;1;49;1458;510306797;134352392
2023-04-12;07:15:44;1;0;48;1797;38025;995173
2023-04-12;07:15:44;1;2;34;1745;45414;85
2023-04-12;07:15:44;1;1;49;1458;510306792;134352373
2023-04-12;07:15:45;1;0;48;1789;37833;995114
2023-04-12;07:15:45;1;2;34;1718;45544;11
2023-04-12;07:15:46;1;0;48;1773;37973;995174
2023-04-12;07:15:46;1;2;34;1678;45605;60
2023-04-12;07:15:46;1;1;49;1452;510306820;134352376
2023-04-12;07:15:47;1;0;48;1754;37845;995137
2023-04-12;07:15:47;1;2;34;1628;45673;235
2023-04-12;07:15:47;1;1;49;1446;510306854;134352400
2023-04-12;07:15:48;1;0;48;1735;37870;995172
2023-04-12;07:15:48;1;2;34;1580;45712;11
2023-04-12;07:15:48;1;1;49;1435;510306914;134352450
2023-04-12;07:15:49;1;0;48;1723;37757;995177
2023-04-12;07:15:49;1;2;34;1526;45818;11
2023-04-12;07:15:49;1;1;49;1422;510306991;134352518
2023-04-12;07:15:50;1;101;2023-04-12;07:15:50
2023-04-12;07:15:50;1;0;48;1716;37771;995215
2023-04-12;07:15:50;1;2;34;1501;45994;11
2023-04-12;07:15:50;1;1;49;1410;510307055;134352572
2023-04-12;07:15:51;1;0;48;1694;38057;995197
2023-04-12;07:15:51;1;2;34;1475;46215;11
2023-04-12;07:15:51;1;1;49;1402;510307104;134352611
2023-04-12;07:15:52;1;0;48;1693;37894;995180
2023-04-12;07:15:52;1;2;34;1471;46513;11
2023-04-12;07:15:52;1;1;49;1392;510307157;134352654
2023-04-12;07:15:53;1;0;48;1686;38040;995218
2023-04-12;07:15:53;1;2;34;1458;46780;11
2023-04-12;07:15:53;1;1;49;1380;510307228;134352712
2023-04-12;07:15:54;1;0;48;1674;38121;995187
2023-04-12;07:15:54;1;2;34;1439;47054;11
2023-04-12;07:15:54;1;1;49;1370;510307285;134352757
2023-04-12;07:15:55;1;0;48;1664;38395;995209
2023-04-12;07:15:55;1;2;34;1425;47382;11
2023-04-12;07:15:55;1;1;49;1363;510307322;134352783
2023-04-12;07:15:56;1;0;48;1663;38375;995218
2023-04-12;07:15:56;1;2;34;1421;47649;11
2023-04-12;07:15:57;1;0;48;1660;38707;995166
2023-04-12;07:15:57;1;2;34;1436;47962;11
2023-04-12;07:15:57;1;1;49;1355;510307378;134352825
2023-04-12;07:15:58;1;0;48;1660;38870;995166
2023-04-12;07:15:58;1;2;34;1455;48306;11
2023-04-12;07:15:59;1;0;48;1664;38842;995137
2023-04-12;07:15:59;1;2;34;1481;48611;11
2023-04-12;07:15:59;1;1;49;1346;510307428;134352851
2023-04-12;07:16:00;1;101;2023-04-12;07:16:00
2023-04-12;07:16:00;1;0;48;1674;38973;995249
2023-04-12;07:16:00;1;2;34;1513;48939;40
2023-04-12;07:16:00;1;1;49;1343;510307449;134352865
2023-04-12;07:16:01;1;0;48;1676;38874;995151
2023-04-12;07:16:01;1;2;34;1535;49130;11
2023-04-12;07:16:01;1;1;49;1337;510307481;134352885
2023-04-12;07:16:02;1;0;48;1664;38973;995155
2023-04-12;07:16:02;1;2;34;1519;49236;11
2023-04-12;07:16:02;1;1;49;1328;510307535;134352931
2023-04-12;07:16:03;1;0;48;1646;38827;995207
2023-04-12;07:16:03;1;2;34;1487;49259;38697
2023-04-12;07:16:03;1;1;49;1321;510307577;134352962
2023-04-12;07:16:04;1;0;48;1633;39038;995167
2023-04-12;07:16:04;1;2;34;1469;49274;11
2023-04-12;07:16:04;1;1;49;1312;510307631;134353008
2023-04-12;07:16:05;1;0;48;1629;39227;995177
2023-04-12;07:16:05;1;2;34;1470;49366;11
2023-04-12;07:16:05;1;1;49;1307;510307661;134353031
2023-04-12;07:16:06;1;0;48;1635;39232;995228
2023-04-12;07:16:06;1;2;34;1484;49458;11
2023-04-12;07:16:06;1;1;49;1296;510307726;134353083
2023-04-12;07:16:07;1;0;48;1603;39294;995169
2023-04-12;07:16:07;1;2;34;1434;49480;11
2023-04-12;07:16:07;1;1;49;1291;510307759;134353107
2023-04-12;07:16:08;1;0;48;1593;39326;995181
2023-04-12;07:16:08;1;2;34;1413;49541;11
2023-04-12;07:16:08;1;1;49;1285;510307795;134353135
2023-04-12;07:16:09;1;0;48;1588;39403;995174
2023-04-12;07:16:09;1;2;34;1401;49633;11
2023-04-12;07:16:09;1;1;49;1276;510307846;134353179
2023-04-12;07:16:10;1;101;2023-04-12;07:16:10
2023-04-12;07:16:10;1;0;48;1583;39661;995159
2023-04-12;07:16:10;1;2;34;1388;49755;11
2023-04-12;07:16:10;1;1;49;1269;510307881;134353208
2023-04-12;07:16:11;1;0;48;1578;39687;995160
2023-04-12;07:16:11;1;2;34;1384;49931;95
2023-04-12;07:16:11;1;1;49;1263;510307916;134353236
2023-04-12;07:16:12;1;0;48;1553;39958;995115
2023-04-12;07:16:12;1;2;34;1344;50053;11
2023-04-12;07:16:12;1;1;49;1262;510307920;134353231
2023-04-12;07:16:13;1;0;48;1540;40037;995235
2023-04-12;07:16:13;1;2;34;1321;50205;11
2023-04-12;07:16:13;1;1;49;1268;510307888;134353192
2023-04-12;07:16:14;1;0;48;1528;40036;995159
2023-04-12;07:16:14;1;2;34;1298;50327;44
2023-04-12;07:16:14;1;1;49;1273;510307861;134353162
2023-04-12;07:16:15;1;0;48;1525;40478;995133
2023-04-12;07:16:15;1;2;34;1301;50549;11
2023-04-12;07:16:16;1;0;48;1529;40482;995176
2023-04-12;07:16:16;1;2;34;1319;50800;11
2023-04-12;07:16:16;1;1;49;1282;510307819;134353112
2023-04-12;07:16:17;1;0;48;1530;40552;995167
2023-04-12;07:16:17;1;2;34;1336;51029;11
2023-04-12;07:16:17;1;1;49;1291;510307776;134353066
2023-04-12;07:16:18;1;0;48;1509;40858;995138
2023-04-12;07:16:18;1;2;34;1313;51228;143
2023-04-12;07:16:18;1;1;49;1301;510307728;134353019
2023-04-12;07:16:19;1;0;48;1495;40763;995187
2023-04-12;07:16:19;1;2;34;1282;51357;11
2023-04-12;07:16:19;1;1;49;1306;510307703;134352992
2023-04-12;07:16:20;1;101;2023-04-12;07:16:20
2023-04-12;07:16:20;1;0;48;1485;41167;995199
2023-04-12;07:16:20;1;2;34;1266;51502;11
2023-04-12;07:16:20;1;1;49;1312;510307675;134352960
2023-04-12;07:16:21;1;0;48;1484;41217;995191
2023-04-12;07:16:21;1;2;34;1271;51670;11
2023-04-12;07:16:21;1;1;49;1318;510307645;134352932
2023-04-12;07:16:22;1;0;48;1485;41360;995146
2023-04-12;07:16:22;1;2;34;1280;51899;11
2023-04-12;07:16:22;1;1;49;1321;510307637;134352926
2023-04-12;07:16:23;1;0;48;1467;41242;995160
2023-04-12;07:16:23;1;2;34;1268;52067;11
2023-04-12;07:16:23;1;1;49;1321;510307641;134352927
2023-04-12;07:16:24;1;0;48;1458;41657;995163
2023-04-12;07:16:24;1;2;34;1248;52189;11
2023-04-12;07:16:24;1;1;49;1312;510307699;134352987
2023-04-12;07:16:25;1;0;48;1443;41653;995185
2023-04-12;07:16:25;1;2;34;1232;52357;11
2023-04-12;07:16:25;1;1;49;1312;510307699;134352989
2023-04-12;07:16:26;1;0;48;1442;42036;995034
2023-04-12;07:16:26;1;2;34;1236;52563;11
2023-04-12;07:16:26;1;1;49;1304;510307751;134353044
2023-04-12;07:16:27;1;0;48;1432;42156;995144
2023-04-12;07:16:27;1;2;34;1225;52738;11
2023-04-12;07:16:27;1;1;49;1298;510307791;134353090
2023-04-12;07:16:28;1;0;48;1433;42299;995188
2023-04-12;07:16:28;1;2;34;1226;52906;63683
2023-04-12;07:16:29;1;0;48;1434;42219;995134
2023-04-12;07:16:29;1;2;34;1238;53097;11
2023-04-12;07:16:29;1;1;49;1283;510307873;134353174
2023-04-12;07:16:30;1;101;2023-04-12;07:16:30
2023-04-12;07:16:30;1;0;48;1440;42294;995150
2023-04-12;07:16:30;1;2;34;1263;53288;11
2023-04-12;07:16:30;1;1;49;1267;510307971;134353270
2023-04-12;07:16:31;1;0;48;1443;42338;995176
2023-04-12;07:16:31;1;2;34;1289;53532;11
2023-04-12;07:16:31;1;1;49;1260;510308012;134353313
2023-04-12;07:16:32;1;0;48;1439;42578;995115
