datetime,t,wind_z,wind_h,t_det,wind_z_det,wind_h_det,t_tap,wind_z_tap,wind_h_tap
2023-08-11 12:30:41.000,27.04,-0.12,0.04123105625617661,1.253452476286057,-0.19251183563398316,-1.0230465914489573,1.253452476286057,-0.19251183563398316,-1.0230465914489573
2023-08-11 12:30:41.500,26.9,0.17,0.042426406871192854,1.113360585131165,0.09748794314910192,-1.0218842906568761,1.113360585131165,0.09748794314910192,-1.0218842906568761
2023-08-11 12:30:42.000,26.68,0.22,0.2570992026436488,0.8932686939762711,0.14748772193218698,-0.8072445447073554,0.8932686939762711,0.14748772193218698,-0.8072445447073554
2023-08-11 12:30:42.500,26.51,0.11,0.4816637831516918,0.7231768028213814,0.03748750071527206,-0.5827130140222475,0.7231768028213814,0.03748750071527206,-0.5827130140222475
2023-08-11 12:30:43.000,26.61,0.12,0.44,0.8230849116664842,0.04748727949835713,-0.6244098469968746,0.8230849116664842,0.04748727949835713,-0.6244098469968746
2023-08-11 12:30:43.500,26.61,0.17,0.2707397274136177,0.8229930205115927,0.09748705828144223,-0.793703169406192,0.8229930205115927,0.09748705828144223,-0.793703169406192
2023-08-11 12:30:44.000,27.04,0.03,0.4386342439892262,1.2529011293566974,-0.042513162935472706,-0.6258417026535186,1.2529011293566974,-0.042513162935472706,-0.6258417026535186
2023-08-11 12:30:44.500,27.33,0.09,0.3905124837953327,1.542809238201805,0.017486615847612366,-0.6739965126703473,1.542809238201805,0.017486615847612366,-0.6739965126703473
2023-08-11 12:30:45.000,27.28,0.15,0.1984943324127921,1.4927173470469128,0.07748639463069745,-0.8660477138758229,1.4927173470469128,0.07748639463069745,-0.8660477138758229
2023-08-11 12:30:45.500,26.9,0.01,0.3023243291566195,1.1126254558920188,-0.06251382658621747,-0.7622507669549305,1.1126254558920188,-0.06251382658621747,-0.7622507669549305
2023-08-11 12:30:46.000,26.87,-0.04,0.3905124837953327,1.0825335647371261,-0.1125140478031324,-0.6740956621391527,1.0825335647371261,-0.1125140478031324,-0.6740956621391527
2023-08-11 12:30:46.500,26.82,-0.13,0.4242640687119285,1.032441673582234,-0.20251426902004732,-0.6403771270454919,1.032441673582234,-0.20251426902004732,-0.6403771270454919
2023-08-11 12:30:47.000,26.9,-0.08,0.4841487374764082,1.1123497824273372,-0.15251449023696223,-0.5805255081039473,1.1123497824273372,-0.15251449023696223,-0.5805255081039473
2023-08-11 12:30:47.500,26.94,0.1,0.3047950130825634,1.1522578912724484,0.027485288546122852,-0.7599122823207274,1.1522578912724484,0.027485288546122852,-0.7599122823207274
