datetime,t,rh,p,t_det,rh_det,p_det,t_tap,rh_tap,p_tap
2023-07-08 14:41:38,40.62,17.526,1005.489,3.283358091681947,-2.512161352110521,0.11472088760604038,3.283358091681947,-2.512161352110521,0.11472088760604038
2023-07-08 14:41:39,40.64,17.601,1005.578,3.3035782409647254,-2.4371950311327844,0.20378811050284185,3.3035782409647254,-2.4371950311327844,0.20378811050284185
2023-07-08 14:41:40,40.67,17.571,1005.547,3.333798390247509,-2.4672287101550445,0.17285533339963877,3.333798390247509,-2.4672287101550445,0.17285533339963877
2023-07-08 14:41:41,40.69,17.54,1005.526,3.35401853953028,-2.4982623891773095,0.1519225562964266,3.35401853953028,-2.4982623891773095,0.1519225562964266
2023-07-08 14:41:42,40.71,17.604,1005.541,3.374238688813058,-2.434296068199572,0.1669897791933863,3.374238688813058,-2.434296068199572,0.1669897791933863
2023-07-08 14:41:43,40.76,17.51,1005.508,3.4244588380958376,-2.5283297472218322,0.13405700209023053,3.4244588380958376,-2.5283297472218322,0.13405700209023053
2023-07-08 14:41:44,40.79,17.489,1005.55,3.454678987378614,-2.5493634262440956,0.17612422498700653,3.454678987378614,-2.5493634262440956,0.17612422498700653
2023-07-08 14:41:45,40.82,17.491,1005.583,3.48489913666139,-2.5473971052663593,0.20919144788388166,3.48489913666139,-2.5473971052663593,0.20919144788388166
2023-07-08 14:41:46,40.84,17.384,1005.553,3.5051192859441755,-2.6544307842886212,0.17925867078065494,3.5051192859441755,-2.6544307842886212,0.17925867078065494
2023-07-08 14:41:47,40.87,17.321,1005.522,3.5353394352269447,-2.7174644633108826,0.14832589367756555,3.5353394352269447,-2.7174644633108826,0.14832589367756555
2023-07-08 14:41:48,40.9,17.387,1005.499,3.565559584509721,-2.6514981423331463,0.12539311657440066,3.565559584509721,-2.6514981423331463,0.12539311657440066
2023-07-08 14:41:49,40.93,17.484,1005.597,3.5957797337925044,-2.5545318213554076,0.22346033947121668,3.5957797337925044,-2.5545318213554076,0.22346033947121668
