datetime,t,t_det,t_tap,wind_z,wind_z_det,wind_z_tap,wind_h,wind_h_det,wind_h_tap
2023-07-11 12:01:49.000,29.15,-0.8874634643218471,-0.8874634643218471,0.04,-0.07867355819822139,-0.07867355819822139,0.45880278987817846,-0.33623812376502316,-0.33623812376502316
2023-07-11 12:01:49.500,29.53,-0.5076128198488874,-0.5076128198488874,-0.24,-0.35867961139341575,-0.35867961139341575,0.2780287754891569,-0.5170288088301467,-0.5170288088301467
2023-07-11 12:01:50.000,29.53,-0.5077621753759303,-0.5077621753759303,-0.05,-0.16868566458861017,-0.16868566458861017,0.3330165161069342,-0.4620577388884713,-0.4620577388884713
2023-07-11 12:01:50.500,29.41,-0.6279115309029741,-0.6279115309029741,-0.19,-0.30869171778380455,-0.30869171778380455,0.644980619863884,-0.1501103058076234,-0.1501103058076234
2023-07-11 12:01:51.000,29.44,-0.5980608864300159,-0.5980608864300159,-0.36,-0.47869777097899896,-0.47869777097899896,0.671863081289633,-0.12324451505797629,-0.12324451505797629
2023-07-11 12:01:51.500,29.44,-0.5982102419570587,-0.5982102419570587,0.03,-0.08870382417419338,-0.08870382417419338,0.7495331880577404,-0.04559107896597092,-0.04559107896597092
2023-07-11 12:01:52.000,29.55,-0.4883595974841022,-0.4883595974841022,-0.07,-0.18870987736938777,-0.18870987736938777,0.9362157870918435,0.1410748493920303,0.1410748493920303
2023-07-11 12:01:52.500,29.5,-0.5385089530111458,-0.5385089530111458,0.02,-0.09871593056458217,-0.09871593056458217,0.8895504482602434,0.09439283988432834,0.09439283988432834
2023-07-11 12:01:53.000,29.53,-0.5086583085381875,-0.5086583085381875,0.03,-0.08872198375977657,-0.08872198375977657,0.7349829930005184,-0.060191286051498594,-0.060191286051498594
2023-07-11 12:01:53.500,29.46,-0.5788076640652307,-0.5788076640652307,-0.15,-0.26872803695497094,-0.26872803695497094,0.3705401462729781,-0.4246508034551408,-0.4246508034551408
2023-07-11 12:01:54.000,29.44,-0.5989570195922731,-0.5989570195922731,-0.12,-0.23873409015016533,-0.23873409015016533,0.420119030752,-0.37508858965222086,-0.37508858965222086
2023-07-11 12:01:54.500,29.46,-0.5791063751193164,-0.5791063751193164,-0.19,-0.30874014334535976,-0.30874014334535976,0.422965719651132,-0.3722585714291908,-0.3722585714291908
2023-07-11 12:01:55.000,29.5,-0.5392557306463601,-0.5392557306463601,-0.26,-0.37874619654055414,-0.37874619654055414,0.35440090293338705,-0.4408400588230376,-0.4408400588230376
2023-07-11 12:01:55.500,29.5,-0.539405086173403,-0.539405086173403,0.08,-0.038752249735748534,-0.038752249735748534,0.24041630560342617,-0.5548413268291004,-0.5548413268291004
2023-07-11 12:01:56.000,29.53,-0.5095544417004447,-0.5095544417004447,0.22,0.10124169706905707,0.10124169706905707,0.16278820596099705,-0.6324860971476314,-0.6324860971476314
2023-07-11 12:01:56.500,29.44,-0.5997037972274875,-0.5997037972274875,0.2,0.08123564387386269,0.08123564387386269,0.3984971769034255,-0.39679379688130495,-0.39679379688130495
2023-07-11 12:01:57.000,29.46,-0.5798531527545308,-0.5798531527545308,0.32,0.2012295906786683,0.2012295906786683,0.31400636936215165,-0.4813012750986807,-0.4813012750986807
2023-07-11 12:01:57.500,29.38,-0.6600025082815755,-0.6600025082815755,0.15,0.03122353748347388,0.03122353748347388,0.5600892785976179,-0.23523503653931632,-0.23523503653931632
2023-07-11 12:01:58.000,29.44,-0.6001518638086161,-0.6001518638086161,0.2,0.0812174842882795,0.0812174842882795,0.5203844732503076,-0.27495651256272857,-0.27495651256272857
2023-07-11 12:01:58.500,29.38,-0.6603012193356612,-0.6603012193356612,-0.12,-0.2387885689069149,-0.2387885689069149,0.422965719651132,-0.37239193683800603,-0.37239193683800603
2023-07-11 12:01:59.000,29.64,-0.4004505748627025,-0.4004505748627025,0.11,-0.008794622102109295,-0.008794622102109295,0.5295280917949491,-0.26584623537029095,-0.26584623537029095
2023-07-11 12:01:59.500,29.27,-0.7705999303897464,-0.7705999303897464,-0.22,-0.3388006752973037,-0.3388006752973037,0.596824932455071,-0.19856606538627097,-0.19856606538627097
2023-07-11 12:02:00.000,29.44,-0.6007492859167876,-0.6007492859167876,0.15,0.03119327150750191,0.03119327150750191,0.5614267539047281,-0.23398091461271575,-0.23398091461271575
2023-07-11 12:02:00.500,29.41,-0.6308986414438316,-0.6308986414438316,-0.05,-0.16881278168769248,-0.16881278168769248,0.33541019662496846,-0.46001414256857726,-0.46001414256857726
2023-07-11 12:02:01.000,29.29,-0.7510479969708754,-0.7510479969708754,-0.1,-0.2188188348828869,-0.2188188348828869,0.24,-0.5554410098696476,-0.5554410098696476
2023-07-11 12:02:01.500,29.27,-0.7711973524979179,-0.7711973524979179,-0.26,-0.3788248880780813,-0.3788248880780813,0.16278820596099705,-0.6326694745847525,-0.6326694745847525
2023-07-11 12:02:02.000,29.24,-0.8013467080249619,-0.8013467080249619,-0.33,-0.44883094127327566,-0.44883094127327566,0.24758836806279896,-0.5478859831590526,-0.5478859831590526
2023-07-11 12:02:02.500,29.27,-0.7714960635520036,-0.7714960635520036,-0.31,-0.42883699446847007,-0.42883699446847007,0.2780287754891569,-0.5174622464087966,-0.5174622464087966
2023-07-11 12:02:03.000,29.29,-0.7516454190790469,-0.7516454190790469,-0.24,-0.3588430476636644,-0.3588430476636644,0.2308679276123039,-0.5646397649617514,-0.5646397649617514
2023-07-11 12:02:03.500,29.32,-0.7217947746060887,-0.7217947746060887,-0.12,-0.23884910085885885,-0.23884910085885885,0.32,-0.4755243632501573,-0.4755243632501573
2023-07-11 12:02:04.000,29.38,-0.6619441301331328,-0.6619441301331328,0.0,-0.11885515405405324,-0.11885515405405324,0.25238858928247926,-0.5431524446437799,-0.5431524446437799
