datetime,t,t_det,t_tap
2023-07-11 12:05:28,30.18,0.11080136768445215,0.11080136768445215
2023-07-11 12:05:29,30.18,0.11035140977678992,0.11035140977678992
2023-07-11 12:05:30,30.2,0.12990145186912727,0.12990145186912727
2023-07-11 12:05:31,30.21,0.13945149396147016,0.13945149396147016
2023-07-11 12:05:32,30.23,0.1590015360538075,0.1590015360538075
2023-07-11 12:05:33,30.26,0.18855157814614643,0.18855157814614643
2023-07-11 12:05:34,30.26,0.1881016202384842,0.1881016202384842
2023-07-11 12:05:35,30.27,0.19765166233082354,0.19765166233082354
2023-07-11 12:05:36,30.27,0.19720170442316132,0.19720170442316132
2023-07-11 12:05:37,30.28,0.20675174651550066,0.20675174651550066
2023-07-11 12:05:38,30.29,0.21630178860783644,0.21630178860783644
2023-07-11 12:05:39,30.32,0.2458518307001789,0.2458518307001789
2023-07-11 12:05:40,30.31,0.23540187279251512,0.23540187279251512
2023-07-11 12:05:41,30.32,0.24495191488485446,0.24495191488485446
2023-07-11 12:05:42,30.32,0.24450195697719224,0.24450195697719224
2023-07-11 12:05:43,30.36,0.2840519990695327,0.2840519990695327
2023-07-11 12:05:44,30.41,0.3336020411618712,0.3336020411618712
2023-07-11 12:05:45,30.44,0.3631520832542101,0.3631520832542101
2023-07-11 12:05:46,30.45,0.3727021253465459,0.3727021253465459
2023-07-11 12:05:47,30.48,0.4022521674388848,0.4022521674388848
2023-07-11 12:05:48,30.49,0.41180220953122415,0.41180220953122415
2023-07-11 12:05:49,30.49,0.4113522516235619,0.4113522516235619
2023-07-11 12:05:50,30.5,0.42090229371590127,0.42090229371590127
2023-07-11 12:05:51,30.52,0.44045233580824217,0.44045233580824217
2023-07-11 12:05:52,30.55,0.4700023779005811,0.4700023779005811
2023-07-11 12:05:53,30.56,0.47955241999291687,0.47955241999291687
2023-07-11 12:05:54,30.57,0.4891024620852562,0.4891024620852562
2023-07-11 12:05:55,30.6,0.5186525041775951,0.5186525041775951
2023-07-11 12:05:56,30.58,0.4982025462699333,0.4982025462699333
2023-07-11 12:05:57,30.57,0.4877525883622731,0.4877525883622731
2023-07-11 12:05:58,30.59,0.5073026304546104,0.5073026304546104
2023-07-11 12:05:59,30.6,0.5168526725469498,0.5168526725469498
2023-07-11 12:06:00,30.59,0.5064027146392895,0.5064027146392895
2023-07-11 12:06:01,30.59,0.5059527567316273,0.5059527567316273
2023-07-11 12:06:02,30.6,0.5155027988239667,0.5155027988239667
2023-07-11 12:06:03,30.61,0.5250528409163024,0.5250528409163024
2023-07-11 12:06:04,30.61,0.5246028830086438,0.5246028830086438
2023-07-11 12:06:05,30.6,0.5141529251009835,0.5141529251009835
2023-07-11 12:06:06,30.6,0.5137029671933213,0.5137029671933213
2023-07-11 12:06:07,30.6,0.5132530092856591,0.5132530092856591
2023-07-11 12:06:08,30.59,0.5028030513779989,0.5028030513779989
2023-07-11 12:06:09,30.6,0.5123530934703382,0.5123530934703382
2023-07-11 12:06:10,30.6,0.511903135562676,0.511903135562676
2023-07-11 12:06:11,30.6,0.5114531776550137,0.5114531776550137
2023-07-11 12:06:12,30.61,0.5210032197473531,0.5210032197473531
2023-07-11 12:06:13,30.61,0.5205532618396909,0.5205532618396909
2023-07-11 12:06:14,30.63,0.5401033039320282,0.5401033039320282
2023-07-11 12:06:15,30.62,0.529653346024368,0.529653346024368
2023-07-11 12:06:16,30.63,0.5392033881167073,0.5392033881167073
2023-07-11 12:06:17,30.63,0.5387534302090451,0.5387534302090451
2023-07-11 12:06:18,30.62,0.5283034723013849,0.5283034723013849
2023-07-11 12:06:19,30.62,0.5278535143937226,0.5278535143937226
2023-07-11 12:06:20,30.61,0.5174035564860624,0.5174035564860624
2023-07-11 12:06:21,30.61,0.5169535985784002,0.5169535985784002
2023-07-11 12:06:22,30.62,0.5265036406707395,0.5265036406707395
2023-07-11 12:06:23,30.6,0.5060536827630777,0.5060536827630777
2023-07-11 12:06:24,30.6,0.505603724855419,0.505603724855419
2023-07-11 12:06:25,30.6,0.5051537669477568,0.5051537669477568
2023-07-11 12:06:26,30.6,0.5047038090400946,0.5047038090400946
2023-07-11 12:06:27,30.6,0.5042538511324324,0.5042538511324324
2023-07-11 12:06:28,30.59,0.49380389322477214,0.49380389322477214
2023-07-11 12:06:29,30.6,0.5033539353171115,0.5033539353171115
2023-07-11 12:06:30,30.6,0.5029039774094493,0.5029039774094493
2023-07-11 12:06:31,30.61,0.512454019501785,0.512454019501785
2023-07-11 12:06:32,30.6,0.5020040615941284,0.5020040615941284
2023-07-11 12:06:33,30.61,0.5115541036864641,0.5115541036864641
2023-07-11 12:06:34,30.61,0.5111041457788019,0.5111041457788019
2023-07-11 12:06:35,30.63,0.5306541878711393,0.5306541878711393
2023-07-11 12:06:36,30.61,0.5102042299634775,0.5102042299634775
2023-07-11 12:06:37,30.63,0.5297542720558184,0.5297542720558184
2023-07-11 12:06:38,30.63,0.5293043141481562,0.5293043141481562
2023-07-11 12:06:39,30.62,0.5188543562404959,0.5188543562404959
2023-07-11 12:06:40,30.62,0.5184043983328337,0.5184043983328337
2023-07-11 12:06:41,30.65,0.5479544404251726,0.5479544404251726
2023-07-11 12:06:42,30.64,0.5375044825175124,0.5375044825175124
2023-07-11 12:06:43,30.66,0.5570545246098497,0.5570545246098497
2023-07-11 12:06:44,30.7,0.5966045667021866,0.5966045667021866
2023-07-11 12:06:45,30.67,0.5661546087945304,0.5661546087945304
2023-07-11 12:06:46,30.65,0.545704650886865,0.545704650886865
2023-07-11 12:06:47,30.62,0.5152546929792052,0.5152546929792052
2023-07-11 12:06:48,30.6,0.49480473507154343,0.49480473507154343
2023-07-11 12:06:49,30.6,0.49435477716388476,0.49435477716388476
2023-07-11 12:06:50,30.57,0.4639048192562214,0.4639048192562214
2023-07-11 12:06:51,30.57,0.4634548613485592,0.4634548613485592
2023-07-11 12:06:51,30.54,0.4330049034408958,0.4330049034408958
2023-07-11 12:06:52,30.54,0.43255494553323715,0.43255494553323715
2023-07-11 12:06:53,30.52,0.41210498762557535,0.41210498762557535
2023-07-11 12:06:54,30.51,0.4016550297179151,0.4016550297179151
2023-07-11 12:06:55,30.49,0.38120507181024976,0.38120507181024976
2023-07-11 12:06:56,30.49,0.3807551139025911,0.3807551139025911
